NAME_2,pop_sum,pop_sum_round,rank_desc
Kitwe,769410.1553206444,769410,1
Ndola,635338.0007944107,635338,2
Chingola,279828.60988354683,279829,3
Luanshya,167443.77625107765,167444,4
Mufulira,166646.92986869812,166647,5
Mpongwe,128268.42875266075,128268,6
Masaiti,126331.80784159899,126332,7
Chililabombwe,113121.01743555069,113121,8
Lufwanyama,92096.06618082523,92096,9
Kalulushi,77463.4946782589,77463,10
Kalulushi,77463.4946782589,77463,11
Mushindano,31570.73814344406,31571,12
