geom_hash,row_index,GID_2,NAME_2,NAME_1
caf6e76ff7bf30b0ce613f600ae6af20,2,ZMB.2.3_2,Kalulushi,Copperbelt
caf6e76ff7bf30b0ce613f600ae6af20,11,ZMB.2.3_2,Kalulushi,Copperbelt
